Date,Event
25-26 January,Stratford Pony Club Tetrathlon
18-19 February,"MPV State Championships, Geelong"
22-24 April,"MPA National Championships, Melbourne"
21-22 May,"North East Zone Multi Event Tetrathlon, Benalla"
27 June - 1 July,"Pentathlon/Tetrathlon Camp, Geelong"
16-17 July,"MPV Winter Cchampionships, Geelong"
September,Hub Championship and Top Score Tetrathlon Championship
9-Oct,"Wannon Zone Tetrathlon, Warnambool"
19-20 November,MPV Triathle and Laser-Run
10-11 December,PCV State Tetratlon Championships
